Key,en_us,zh_cn-old,zh_cn
info_book.evilcraft.second_age.powers_of_blood.text4,It appears that &1Condensed Blood&0 can be found in some rare places. These can be inserted into any &4Blood&0-accepting machines to gain half a bucket of extra &4Blood&0 for your pleasure.,&1凝结血液&0会出现在一些稀有的地方，它可以放入任何接受血液的机器里当作500mb血液使用。,&1凝结血液&0会出现在某些稀有的地方。可将其放入任何接受&4血液&0的机器中，以获得额外半桶&4血液&0。
info_book.evilcraft.second_age.blood_infusion.blood_infusion_core.text,"This is one of the most profound discoveries based on &4Blood&0. Mundane items can be infused with &4Blood&0 to give the very special and interesting properties. The possibilities are endless, as long as you are not afraid to think a bit out of the box.",这似乎是用&4血液&0做的最意义重大的发明。普通的物品注入血以后就能产生非常特殊有趣的性质。这些可能性是无穷无尽的，你可能都不敢想象。,这是基于&4血液&0最深刻的发现之一。可通过为寻常物品注入&4血液&0以赋予其独特有趣的特性。只要不惧跳出思维定式，可能性将无穷无尽。
info_book.evilcraft.second_age.blood_infusion.blood_chest.text,"My first simple attempt to infuse items with &4Blood&0 resulted in a simple chest in which tools can bathe in. This bathing causes damage to the tools to slowly disappear. There is however a minor issue which causes tools to rarely attain bad effects, like the &1Curse of Breaking&0 enchant. I’ll certainly discover another way to purify these tools to get rid of these bad effects.",我的第一个使用&4血液&0的简单尝试就是一个可以浸泡工具的简单箱子。将工具浸泡其中，工具的损伤会慢慢消失。但也有一个小问题，这会对工具造成不好的效果，比如沾染上破碎诅咒。,初次尝试将&4血液&0物品注入时，我制作了一个简单的箱子，工具可在其中浸润。浸润期间，工具的损伤会逐渐消退。不过存在一个小问题，工具有小概率会获得负面效果，例如&1破碎诅咒&0魔咒。我必将找到一种净化工具的方法，以消除这些负面效果。
info_book.evilcraft.second_age.blood_infusion.blood_infuser.text1,"After repairing items, I was sure I could take things to the next level. Items that can accept &4Blood&0, like the &1Dark Tanks&0 I introduced before, will be filled with &4Blood&0 when placed in this machine. Other specific items seem to transform in a special way when filled with &4Blood&0, here is a non-exhaustive list of items which can be infused. Giving this machine a redstone signal will pause any running process.",尝试过修复物品之后，我确信我能做出更高级别的东西。物品也可以接受&4血液&0，比如我之前说的&1暗黑液体罐&0一样，将它放入这台机器就能使它灌满&4血液&0。其他的特殊物品注入&4血液&0时似乎会有特定的转换方式，这里是能注入血液的物品的部分列表。给予这台机器红石信号就能暂停所有工作流程。,尝试过修复物品之后，我确信能将研究推向更高层次。将那些可容纳&4血液&0的物品（如先前介绍的&1暗黑流体罐&0）置于此装置中时，将被自动注入&4血液&0。其他特定物品在注入&4血液&0后，似乎会产生特殊的形态转变，以下列举部分可注入&4血液&0的物品。向该机器输入红石信号可暂停当前所有进程。
info_book.evilcraft.second_age.blood_infusion.blood_infuser.text2,This machine finally allows you to make &1Dark Power Gems&0 more easily and at a much lower cost.,这台机器可以让你使用更少的&4血液&0制造&1暗黑充能宝石&0。,该机器能让你以更低的成本、更轻松地制造&1暗黑充能宝石&0。
info_book.evilcraft.second_age.blood_infusion.undead_tree.text1,"I was able to reanimate dead saplings, the trees that grow from this process are remarkable to say the least. They seem to give off some of Blood if grown naturally, but the saplings that drop still seem to be dead somehow. Combining the wood with a Dark Gem will result in some sticks which will be useful some day.",我能够使枯死的树苗复活，至少可以说，从这个过程中长出的树木非常了不起。如果自然生长，它们似乎会流出一些血液滴落到地面上，但掉落的树苗不知为何还是死亡的。将木头与暗黑宝石结合可以制作一些木棍，也许有一天会很有用。,我成功复活了枯死的树苗，由此培育出的树木至少可以说是非同寻常。若自然生长，这些树木似乎会释放些许血液，但其掉落的树苗似乎仍处于枯死状态。将此类木头与暗黑宝石结合可制成某种木棍，以后应该能派上用场。
info_book.evilcraft.second_age.blood_infusion.undead_tree.text2,Killing a sapling is as simple as shearing a living one in a crafting grid. &oIs that tree growing in a desert?&r,杀死树苗的方法很简单，在合成台上用剪刀和树苗就能制作死亡的树苗。&o这还是长在沙漠里树苗吗？&r,将普通树苗与剪刀在合成方格中结合，便可杀死树苗。&o莫非这树是长在沙漠里的？&r
info_book.evilcraft.second_age.blood_infusion.undead_tree.text3,Dropping sticks made from this wood always seems to rotate their lighter side in a certain direction. Could it be pointing to somewhere?,这种木头的做的&1暗黑木棍&0掉落时总会指向特定的方向，它到底指向哪？,由这种木头制成的木棍掉落时，其较浅色端总是指向某个特定方向。莫非是在指示某个方位？
info_book.evilcraft.second_age.blood_infusion.advanced_blood_infusion.text1,"Soon after my first &1Blood Infuser&0 was built, I started to think of some optimizations to make the machine faster and more efficient. Using the &1Crushed Dark Gems&0 I was able to construct materialized &1Promises&0 which the &1Blood Infuser&0 actually seems to adhere to, it looks like the machine is actually alive in some way...",使用&1暗黑宝石粉末&0，我制造了&1诺言&0，这样&1血能注入器&0就可以被强化，就像机器在某种层度上是活得一样……,首台&1血能注入器&0建成后不久，我便开始构思优化方案以提升其效率。借助&1暗黑宝石粉&0，我成功构建出似乎能让&1血能注入器&0遵循的具现化&1诺言&0，看起来这机器可能在某种程度上具有生命特征……
info_book.evilcraft.second_age.blood_infusion.advanced_blood_infusion.text2,"Filling a &1Bowl of Empty Promises&0 with this purple powder and infusing it with &4Blood&0 will result in a &1Bowl of Promises&0 of a certain strength. Combining this with a reactant and a mineral promise acceptor which can be created with a significant amount of &4Blood&0, will result in a &1Promise&0 of a certain type. &1Promises of Tenacity&0 can be created by utilizing organic reactants, this will allow the machine (and maybe others as well) to allow for more &1Promises&0 and &4Blood&0 to hold, furthermore, it increases the possible infusion recipes. &1Promises of Velocity&0 can be used to increase the speed of the machine, while the &1Productivity Promise&0 will reduce the amount of &4Blood&0 required to process an item.",用这种紫色的粉末装满一个&1空血能碗&0，并向它注入&4血液&0就能获得一碗具有一定强度的&1血能碗&0。根据这种反应现象，用大量&4血液&0和矿物块就能制作相应的&1诺言接收器&0。&1坚韧诺言&0 结合了一些有机物，它会让机器(也可能是其他物品)容纳更多&1诺言&0和&4血液&0。 &1速度诺言&0 可用于提高机器的速度，而 &1效率诺言&0 将减少处理物品所需的 &4血液&0 量。,将这些紫色粉末填充至&1空诺言碗&0中，并注入&4血液&0，即可获得特定强度的&1诺言碗&0。将其与反应物，以及需消耗大量&4血液&0制造的矿物诺言容器结合，可制作特定类型的&1诺言&0。利用有机反应物可制造&1坚韧的诺言&0，使该机器（或许其他机器也可以）能够承载更多&1诺言&0与&4血液&0，同时扩展可执行的注入配方。&1速度的诺言&0可提升机器的速度，而&1效率的诺言&0则会降低物品处理所需的&4血液&0量。
info_book.evilcraft.second_age.blood_infusion.advanced_blood_infusion_recipes,More Blood Infusion Recipes,更多血能注入合成,更多血能注入配方
info_book.evilcraft.second_age.blood_infusion.advanced_blood_infusion_recipes.text,"Because of these new &1Promises of Tenacity&0, it looks like a whole new world opened to infuse items.",因为新的&1坚韧的诺言&0，就像打开了一个全新的世界。,得益于新的&1坚韧的诺言&0，物品注入领域仿佛开启了全新世界。
info_book.evilcraft.second_age.evolved_blood_machinery.sanguinary_pedestal.text1,"I was getting tired of pushing mobs off of cliffs and extracting the &4Blood&0, that is why I constructed a device which is able to extract &4Blood&0 from nearby &1Blood Stains&0 and place it in any nearby tanks. Using some &1Dark Power Gems&0, the &4Blood&0 efficiency of this &4Blood&0 extraction can be increased.","我已经厌倦通过把怪物推下悬崖来获得&4血液&0了,所以我制造了这个装置，它能够提取周围&1血迹方块&0的&4血液&0并装入相邻的液体罐。使用一些&1暗黑充能宝石&0，这个装置提取&4血液&0的效率会变高。",厌倦了将生物推下悬崖以提取&4血液&0，我因而建造了一台能从附近&1血迹&0中抽取&4血液&0，并输送至任意相邻流体容器的装置。使用一些&1暗黑充能宝石&0可提升该装置的&4血液&0提取效率。
info_book.evilcraft.second_age.evolved_blood_machinery.sanguinary_pedestal.text2,Placing a &1Spiked Plate&0 on top of it will enhance the capabilities of this plate to also absorb the &4Blood&0 of the beasts it kills and redirect it to the pedestal.,在上面放置&1钉刺板&0会加强基座的效果，吸收被杀死的生物的血液。,在其顶部放置&1钉刺板&0可强化其功能，使其能吸收被其杀死生物的&4血液&0，并导引至基座之中。
info_book.evilcraft.second_age.evolved_blood_machinery.purifier.text1,"After the unfortunate side-effects of the &1Blood Chest&0, I decided to design a new machine that is able to remove these bad effects from your tools. Simply by placing a tool with a bad effect inside of this block together with at least one bucket worth of &4Blood&0 will remove this effect from the item.",在体验&1血能箱&0的副作用以后，我决定设计一个新装置，用来移除工具上的诅咒附魔。将有诅咒的工具放置到机器内，加入至少一桶&4血液&0，就能移除这种附魔。,在体验&1血能箱&0的副作用后，我决定设计一种新机器，用来清除工具的负面效果。仅需将带有负面效果的物品放入该机器内，并加入至少一桶&4血液&0，即可消除物品的负面效果。
info_book.evilcraft.second_age.evolved_blood_machinery.purifier.text2,"An unintended benefit of this machine is that when filling it completely with &4Blood&0 and placing an enchanted item together with a &1Blook&0 (which is just a &1Book&0 infused with &1Blood&0), will move a random enchantment from the item to the book, at the cost of three &1Buckets of Blood&0.",这个机器有个一个意外的功能，在装满&4血液&0(至少3桶)的净化器上放置&4血书&0(注入&4血液&0的&1书&0)，就可以从放入的工具上移出随机的一项附魔，血书将变成附魔书。,该机器还意外具备另一功能，当完全装满&4血液&0，并同时放入附魔物品和&1血之书&0（即注入&4血液&0的普通&1书&0）时，可随机将物品上的一个魔咒转移至书中，代价是消耗三桶&4血液&0。
info_book.evilcraft.second_age.evolved_blood_machinery.purifier.text3,"Recently, I noticed that this machine also allows you to remove &1Potion Effects&0 from living creatures sitting inside of it by filling the &1Purifier&0 completely with &4Blood&0 and giving it an &1Empty Bottle&0. After a few seconds, the effect will be contained inside the bottle and the creature will be freed of it.",我注意到这种机器还能去除生物的&1药水效果&0，将生物放进充满&4血液&0的&1净化器&0中，给予净化器一个空瓶。几秒后就能收获相应效果的药水，生物也会被释放。,最近，我发现若向&1净化器&0注满&4血液&0，并放入&1玻璃瓶&0，可清除机器上方生物的&1药水效果&0。等待几秒后，药水效果将被容纳于玻璃瓶中，生物则将摆脱该药水效果。
info_book.evilcraft.second_age.evolved_blood_machinery.entangled_chalice.text2,"Normally, you will get two chalices sharing contents from the crafting recipe, but when replacing the center &4Gold Ingot&0 in the recipe with an existing chalice, it will expand the tear network to include another chalice.",正常的情况下，你会得到两个原始的圣杯，当你用其中一个作为核心，再制造两个圣杯时，它们三个圣杯就会形成网络，共享其中的液体。,通常，合成配方会产出两个共享内容的圣杯。但若用已有圣杯替换配方中央的&4金锭&0，即可将泪珠网络扩展至新圣杯。
info_book.evilcraft.second_age.evolved_blood_machinery.entangled_chalice.text3,These chalices can be placed in the world or held in your inventory. Shift + right-click with it in your hand to enable the Omni-Supply mode which will continuously try to fill all containers in your inventory with &4Blood&0.,这些圣杯可以放置在地上，或者放在背包。将圣杯拿在手上按住Shift，并右击就能开启自动供给模式，为你的背包内的容器补充&4血液&0。,这些圣杯既可放置于世界中，也可随身携带。手持时Shift右击可激活自动补给模式，持续用&4血液&0填充物品栏内所有容器。
info_book.second_age.evolved_blood_machinery.colossal_blood_chest.text1,"&1Blood Chests&0 are great, throw in your damaged stuff, and they come out repaired. One downside of using that machine is the occasional bad effect your items can get, and it can be quite annoying to continuously clear that effect with your &1Purifier&0.",&1血能箱&0太棒了，坏的丢进去，好的拿出来。唯一缺点就是会得到诅咒附魔，不断地用&1净化器&0清除也是蛮烦的。,&1血能箱&0固然出色，放入受损物品即可修复如新。但也存在弊端，物品偶尔会获得负面效果，需频繁使用&1净化器&0清除，很是烦人。
info_book.second_age.evolved_blood_machinery.colossal_blood_chest.text2,"Actually, the disadvantes don't stop there. The &1Blood Chests&0 has a very small inventory to put your items in, it is slow, has a small tank size and is really slow. Worst of all, my &1Promises&0 can't even be used to boost the machine!",实际上缺点不仅仅只有一点，血能箱能放入的物品数量少，修复速度慢，液体容量小。最糟糕的是不能用“&1诺言&0”升级！,实际上缺陷远不止于此，&1血能箱&0的存储空间小、修复速度慢、流体容量有限。最糟的是我的&1诺言&0对它不管用！
info_book.second_age.evolved_blood_machinery.colossal_blood_chest.text3,"That is why I created the &1Colossal Blood Chest&0! It solves all of the problems I have mentioned As a logical consequence, this machine is quite a bit bigger than its regular variant. Because of this massive size, I had to make use the strange powers of &1Undead Planks&0 to be able to hold the structure together.",所以我要制造&1大型血能箱&0！它可以解决前面所有提到的问题，不过尺寸会变大一点。这样的巨大我必须使用&1亡灵木板&0的奇怪能量才能使结构搭建起来。,正因如此，我创造出了&1大型血能箱&0！它完美解决了上述所有问题。理所当然的，其体积远超常规型号。为稳固如此巨大的构造，我不得不借助&1亡灵木板&0的奇异力量。
info_book.second_age.evolved_blood_machinery.colossal_blood_chest.text4,"This &1Colossal Blood Chest&0 should only be used if you have a lot of items you need to repair at once. The reason for this is that its base &4Blood&0 usage is higher than the usage of the &1Blood Chests&0, but the more items that are being repaired simultaneously, the more efficient this &4Blood&0 usage becomes.",这种&1大型血能箱&0只会在你有很多需要修复的物品时使用，因为它的血液用量要比&1血能箱&0大，但是同时修复的物品数量越多，它的效率就越快。,仅建议在同时修复大量物品时使用该&1大型血能箱&0。因为其基础&4血液&0消耗高于普通的&1血能箱&0，但随同时修复物品数量的增加，&4血液&0利用率将显著提升。
info_book.second_age.evolved_blood_machinery.colossal_blood_chest.text5,"To build this, make a &1hollow&0 3x3x3 structure of &1Reinforced Undead Planks&0. For the structure to form, your need exactly one &1Colossal Blood Chest&0 block somewhere in the structure wall, make sure not to place it in the middle of the structure, as it must remain hollow.",用&1强化亡灵木板&0搭建一个3*3*3的&1空心结构&0，并包含一个&1大型血能箱&0方块。,建造时需用&1强化亡灵木板&0搭建&1中空&0的3x3x3结构。注意：结构墙面中必须放置一个&1大型血能箱&0方块，且不可置于结构中心，核心区域务必保持中空。
info_book.second_age.evolved_blood_machinery.sanguinary_environmental_accumulator,Sanguinary Environmental Acc.,血腥环境存储器,血腥环境蓄积器
info_book.second_age.evolved_blood_machinery.sanguinary_environmental_accumulator.text1,"I was getting tired of running to &1Dark Temples&0 every time I had to accumulate some environment to craft new items. One day, I was so tired of it that I just broke one the machines standing in there, and to my suprise it dropped a strange new item.",我已经厌倦每次制造东西都要跑去&1暗黑神庙&0了。我受够了，我打碎了环境储存器，却发现了一种新物品,厌倦了每次制作新物品都得跑到&1暗黑神殿&0收集环境能量。终于有一天，我忍无可忍，砸毁了殿内一台机器，没想到竟发现了一种奇特的新物品。
info_book.second_age.evolved_blood_machinery.sanguinary_environmental_accumulator.text2,"After some research, I was able to use this new item in a new kind of &1Environmental Accumulator&0 that is able to run on &4Blood&0. I was also able to make this machine completely bad-effect proof, so no more biome degradation or random deaths by walking near those temples.",研究发现，我可以用这种新东西制作一种使用血液运行的新的&1环境存储器&0。我也完全消除了这种机器的不良影响，不会再有生物群系退化也不会再在寺庙旁突然死亡。,经研究，我成功将此物用于新型&1环境蓄积器&0，该机器可依靠&4血液&0运作。更重要的是，它完全杜绝了负面效果，从此无需担心生物群系退化，或靠近神殿时莫名暴毙。
info_book.second_age.evolved_blood_machinery.sanguinary_environmental_accumulator.text3,"This machine requires a hefty amount of &4Blood&0 to work, that is why you will need &18&0 &4Blood&0 tanks of any type spread around the machine as can be seen in the following image. This machine will not work without those tanks, smoke effects can be seen at the locations where the tanks are supposed to be placed.",这种机器工作需要大量的&4血液&0，你需要在周围放置&18&0个装有&4血液&0的任意容器，如图！如果没有容器，机器将无法工作，放置的容器周围会有粒子效果。,该机器需消耗大量&4血液&0，因此必须在周围放置&18&0个装有&4血液&0任意类型流体容器（如图所示）。若未正确放置容器，机器将无法运行，容器的放置位置会显示烟雾效果作为提示。
info_book.evilcraft.second_age.tools.broom.introduction.text1,"&1Brooms&0 are typically used to clean the floor. I noticed however, that by creating them using &1Crushed Dark Gems&0 and &1Dark Sticks&0, and infusing them with a constant stream of &4Blood&0, they seem to gain some very interesting qualities. When handling a &1Broom&0 in a certain way, it seems to float. After practicing with it for a while, I was able to control it enough to be able to fly in any direction I wanted while sitting on it.",&1扫帚&0通常用于打扫地板。然而我注意到，通过使用&1暗黑宝石粉&0和&1暗黑木棍&0制作它们，并持续注入&4血液&0，它们看起来获得了一些非常有趣的特质。当以特定的方法拿着一把&1扫帚&0，它似乎飘起来了。在练习了一段时间后，我坐在上面能控制它飞往任何我想去的地方。,&1扫帚&0通常用于打扫地板。然而我注意到，使用&1暗黑宝石粉&0和&1暗黑木棍&0制作扫帚，并持续注入&4血液&0，它们会获得某些有趣的特性。当以特定方式操控时，&1扫帚&0竟能飘浮起来。经过一段时间的练习，我已能自如驾驭它实现全向飞行。
info_book.evilcraft.second_age.tools.broom.introduction.text2,"&1Brooms&0 are made of three main parts. The &1Rod&0 is the basis of your broom, this will influence its main properties. A &1Brush&0 is needed to make the Broom maneuvarable. Finally, a &1Cap&0 is needed to balance your &1Broom&0.",&1扫帚&0由三个重要部分组成。&1杆&0是你的扫帚的基础，这将影响它的主要属性。&1刷&0用于让扫帚易于操作。最后，&1端&0用于平衡你的&1扫帚&0。,&1扫帚&0由三大部件构成。&1杆&0是扫帚的基础架构，决定其主要属性。&1刷&0提供飞行操控性。最后需要&1端&0来平衡&1扫帚&0。
info_book.evilcraft.second_age.tools.broom.introduction.text3,"All possible &1Broom&0 parts must be created using the &1Bare Rod, Brush&0 and &1Cap&0, this can be done by combining these three parts of any material in any crafting grid. Parts made from different materials seem to have different properties. All possible properties will be explained in the following section after that I will give an overview of all &1Broom&0 parts.",所有可能的&1扫帚&0部件必须用&1裸杆，裸刷&0和&1裸端&0来制作，这可以通过在任何合成网格中结合这三种材料来完成。由不同材料制成的部件似乎拥有不同的属性。所有可能的属性将在我对所有的&1扫帚&0部件进行一个概述之后的章节中说明。,所有&1扫帚&0部件必须以&1裸杆，裸刷&0和&1裸端&0为基础制作，只需在任何合成方格中将这三种部件与材料组合即可。不同材料制成的部件拥有不同的属性。后续小节中，我将详细说明所有可获得的属性与&1扫帚&0部件类型。
info_book.evilcraft.second_age.tools.broom.introduction.text4,"When flying with the &1Broom&0, make sure that it has enough &4Blood&0 at all times, otherwise the &1Broom&0 will slow down significantly.",当使用&1扫帚&0飞行时，请始终确保它有足够的&4血液&0，否则&1扫帚&0将明显地减速。,驾驭&1扫帚&0飞行时，请其&4血液&0储备始终充足，否则&1扫帚&0飞行速度将显著下降。
info_book.evilcraft.second_age.tools.broom.modifiers.text.intro,"In this section, I will list all modifier effects I have discovered during my adventures. They can be applied to an existing &1Broom&0 by combining it in any crafting grid. Once the modifier is applied, there is no way to remove it again from the &1Broom&0.",在本章节中，我将列出所有我在冒险中发现的强化效果。它们能在合成网格中合成以被用于任何现有的&1扫帚&0 。一旦强化被应用，就无法再从&1扫帚&0中移除它。,本小节将列举我在冒险途中发现的所有强化效果。通过在任意合成方格中将现有&1扫帚&0与对应组件组合，即可为其施加强化效果。强化效果一旦施加，便无法从&1扫帚&0上移除。
info_book.evilcraft.second_age.tools.broom.modifiers.text.acceleration,"&l&nAcceleration&r&NThe higher this value, the faster the &1Broom&0 will accelerate.",&l&n加速度&r&N数值越高，&1扫帚&0加速越快。,&l&n加速度&r&N数值越高，&1扫帚&0加速得越快。
info_book.evilcraft.second_age.tools.broom.modifiers.text.maneuverability,&l&nManeuverability&r&NHow fast a &1Broom&0 can rotate.,&l&n机动性&r&N&1扫帚&0转向的速度。,&l&n机动性&r&N&1扫帚&0的转向速度。
info_book.evilcraft.second_age.tools.broom.modifiers.text.levitation,"&l&nLevitation&r&NThe higher this value, the faster the &1Broom&0 can fly up.",&l&n悬浮性&r&N数值越高，&1扫帚&0爬升越快。,&l&n悬浮性&r&N数值越高，&1扫帚&0爬升得越快。
info_book.evilcraft.second_age.tools.broom.modifiers.text.damage,"&l&nDamage&r&NThe damage that will be afflicted onto colliding mobs. The faster the &1Broom&0 is flying, the higher this damage will be.",&l&n碰撞伤害&r&N怪物被撞到受到的伤害&1扫帚&0飞得越快，伤害越高。,&l&n碰撞伤害&r&N对撞到的生物造成的伤害值。&1扫帚&0飞得越快，伤害越高。
info_book.evilcraft.second_age.tools.broom.modifiers.text.flame,&l&nFlame&r&NAny colliding entity will be lit on fire.,&l&n火焰&r&N任何被碰撞的实体将着火。,&l&n火焰&r&N撞到的实体将被点燃。
info_book.evilcraft.second_age.tools.broom.modifiers.text.smash,&l&nSmash&r&NThis is used to enable the &1Broom&0 to break blocks when flying. Higher values can break harder blocks.,&l&n粉碎&r&N这能让&1扫帚&0在飞行时破坏方块。更高的值能破坏更硬的方块。,&l&n粉碎&r&N使&1扫帚&0飞行时能破坏方块。数值越高，更高的值，可破坏硬度更大的方块。
info_book.evilcraft.second_age.tools.broom.modifiers.text.bouncy,"&l&nBouncy&r&NColliding entities will be bounced away, depending on this modifier value.",&l&n弹性&r&N被碰撞的实体被弹飞，具体取决于强化值。,&l&n弹性&r&N撞到的实体会被弹飞，具体取决于强化值。
info_book.evilcraft.second_age.tools.broom.modifiers.text.witherer,&l&nWitherer&r&NThe wither effect will be applied to colliding entities.,&l&n凋零&r&N凋零效果将被作用于被碰撞的实体。,&l&n凋零&r&N对撞到的实体施加凋零效果。
info_book.evilcraft.second_age.tools.broom.modifiers.text.hungerer,&l&nHungerer&r&NColliding entities will experience sudden hunger.,&l&n饥饿&r&N被碰撞的实体将经历突然的饥饿。,&l&n饥饿&r&N撞到的实体将经历突然的饥饿。
info_book.evilcraft.second_age.tools.broom.modifiers.text.kamikaze,&l&nKamikaze&r&NWhen colliding with an entity the &1Broom&0 will explode. It is very unlikely that a mounted player would survive something like this.,&l&n神风&r&N当&1扫帚&0与一个实体发生碰撞时将会爆炸。其上的玩家绝无幸存的可能。,&l&n神风&r&N与实体碰撞时，&1扫帚&0会爆炸。其上骑乘的玩家绝无幸存可能。
info_book.evilcraft.second_age.tools.broom.modifiers.text.withershield,"&l&nWither Shield&r&NThe higher the modifier value, the larger the chance that the mounted player will be protected from incoming projectiles.",&l&n凋零护盾&r&N强化数值越高，其上的玩家更可能被保护不受弹射物的影响。,&l&n凋灵护盾&r&N强化数值越高，其上骑乘的玩家抵御来袭弹射物的概率越大。
info_book.evilcraft.second_age.tools.broom.modifiers.text.sturdyness,"&l&nThoughness&r&NHigher modifier values will make the &1Broom&0 less influencable by external factors during movement, such as colliding with entities",&l&n坚固性&r&N更高的强化数值将让&1扫帚&0移动中受到外部因素的影响更小，比如怪物的碰撞。,&l&n稳固性&r&N强化数值越高，&1扫帚&0移动中受外部因素的影响越小，例如与实体相撞。
info_book.evilcraft.second_age.tools.broom.modifiers.text.luck,&l&nLuck&r&NThis ability makes the mounted player more lucky when killing mobs and breaking blocks.,&l&n幸运&r&N这种能力使得其上的玩家在杀死怪物和破坏方块时更幸运。,&l&n幸运&r&N该能力使得其上骑乘的玩家在杀死怪物和破坏方块时更幸运。
info_book.evilcraft.second_age.tools.broom.modifiers.text.efficiency,&l&nEfficiency&r&NA higher modifier value will result in a higher chance that nood &4Blood&0 needs to be consumed.,&l&n效率&r&N更高的强化数值将有更高的机会无需消耗&4血液&0。,&l&n效率&r&N强化数值越高，不消耗&4血液&0的概率越大。
info_book.evilcraft.second_age.tools.broom.modifiers.text.swimming,&l&nSwimming&r&NThis makes the &1Broom&0 better maneuverable in liquids.,&l&n游泳&r&N让&1扫帚&0在液体中更易于操纵（机动性更高）。,&l&n游泳&r&N使&1扫帚&0在流体中更易于操纵。
info_book.evilcraft.second_age.tools.broom.modifiers.text.icy,&l&nIcy&r&NSlows down colliding entities.,&l&n冰冻&r&N让碰到的实体减速。,&l&n冰冻&r&N使撞到的实体减速。
info_book.evilcraft.second_age.tools.broom.modifiers.text.sticky,"&l&nSticky&r&NOther entities can stick to you. The higher the modifier, the more entities can stick. Make sure to have a sufficient level of Thoughness to carry all those entities!",&l&n黏性&r&N你可以粘住其他实体。等级越高，能粘住的实体就越多。确保你做好了带着这些实体的思想准备！,&l&n黏性&r&N可将其他实体黏在自己身上。强化数值越高，能黏住的实体就越多。确保稳固性足够以承载所有实体！
info_book.evilcraft.second_age.tools.broom.parts.text1,Various materials can be used to make broom parts. Their tooltip shows what base modifiers will be present on the resulting &1Broom&0 after crafting.,可以使用各种材料制作扫帚部件。它们的信息将显示合成后&1扫帚&0的基础强化。,可以使用各种材料制作扫帚部件。其提示文本中将显示合成后&1扫帚&0的基础强化。
info_book.evilcraft.second_age.tools.introduction,Introduction,介绍,序言
info_book.evilcraft.second_age.tools.introduction.text,"Items that use &4Blood&0 mostly have an internal container that can hold some &4Blood&0 which can be filled using the &1Blood Infuser&0 or by activating auto-supply mode on other tools and holding the item to fill in your hand. When using these items, it will drain some &4Blood&0. When that item has ran out of &4Blood&0, it will try to drain &4Blood&0 from other containers in your inventory, or it will stop functioning if no such item can be found.",使用血液的大部分物品会有一个内部的容器，可以容纳一些&4血液&0，可以使用&1血能注入器&0填充你的工具，或者打开其他工具的自动供给模式，它就会补满你手持的工具。当使用这些物品时会消耗一些&4血液&0，当这些物品消耗完血液以后，它会尝试消耗你背包内其他容器的血液，如果没有血液容器，它将停止工作。,依赖&4血液&0运作的物品会有内部容器，可通过&1血能注入器&0进行填充，或启用其他工具的自动补给模式后，手持待填充物品完成填充。使用此类物品时会消耗内部储存的&4血液&0。当容器内&4血液&0耗尽时，物品将尝试从物品栏内其他容器中抽取&4血液&0。若无可供抽取的容器，物品将停止工作。
info_book.evilcraft.second_age.tools.blood_pearl_of_teleportation,Blood Pearl of Teleportation,血能末影珍珠,血能传送珍珠
info_book.evilcraft.second_age.tools.blood_pearl_of_teleportation.text,"Regular &1Ender Pearls&0 are fun for teleporting around, but this can get quite expensive. Using the powers of &4Blood&0, I was able to construct a special &1Ender Pearl&0 that is completely reusable at the cost of some &4Blood&0. It also seems much more potent than regular &1Ender Pearls&0, which can only be good.",常规的末影珍珠可以瞬移，但是这相当昂贵。使用血能，我制造了一个可以消耗血液重复使用的特殊的末影珍珠。它比正常的末影珍珠更好用。,使用常规&1末影珍珠&0瞬移很有趣，但是颇为昂贵。借助&4血液&0之力，我研制出了一种特殊的&1末影珍珠&0，可重复使用，仅需消耗些许&4血液&0。更妙的是，其效力远胜常规&1末影珍珠&0，这无疑是锦上添花。
info_book.evilcraft.second_age.tools.invigorating_pendant.text,"Getting rid of bad potion effects can be a pain. This pendant is able to remove any bad effect at the cost of some &4Blood&0. Worse effects cost more &4Blood&0. It even seems to extinguish fire, but I wouldn’t recommend swimming in lava just yet. You will need a special kind of string to craft this, which can be created by combining regular string with a small fragment of gold.",负面的药水效果让我痛苦。这个吊坠可以通过消耗&4血液&0移除负面效果。越糟糕的效果消耗越多的血液。它甚至可以熄灭身上的火，不过我不建议你去熔岩里游泳。你需要一种特殊的线来制作它，它可以通过将线和一小块金子组合在一起来制作。,消除负面药水效果总是令人头疼。这个吊坠能以消耗&4血液&0为代价，祛除所有负面状态。效果越恶劣，消耗的&4血液&0越多。它甚至能扑灭火焰，不过还是不建议去熔岩里游泳。制作此物需使用一种特殊的线，由常规线与少量金粒合成而成。
